ID,BUYER_FLAG
40001,0
40002,0
40003,0
40004,0
40005,0
40006,0
40007,0
40008,0
40009,0
40010,0
40011,0
40012,0
40013,0
40014,0
40015,0
40016,0
40017,1
40018,0
40019,1
40020,0
40021,1
40022,1
40023,0
40024,0
40025,0
40026,1
40027,0
40028,0
40029,1
40030,0
40031,0
40032,0
40033,1
40034,0
40035,0
40036,0
40037,0
40038,1
40039,0
40040,0
40041,0
40042,0
40043,0
40044,0
40045,0
40046,0
40047,0
40048,0
40049,0
40050,0
40051,1
40052,0
40053,0
40054,0
40055,0
40056,1
40057,1
40058,0
40059,0
40060,1
40061,0
40062,0
40063,0
40064,0
40065,0
40066,0
40067,0
40068,0
40069,0
40070,0
40071,0
40072,1
40073,0
40074,0
40075,0
40076,0
40077,0
40078,0
40079,0
40080,0
40081,0
40082,0
40083,1
40084,0
40085,1
40086,0
40087,0
40088,0
40089,0
40090,0
40091,0
40092,0
40093,1
40094,0
40095,0
40096,0
40097,0
40098,0
40099,0
40100,0
40101,0
40102,0
40103,0
40104,1
40105,0
40106,0
40107,0
40108,1
40109,0
40110,0
40111,0
40112,0
40113,0
40114,0
40115,0
40116,0
40117,0
40118,0
40119,0
40120,0
40121,0
40122,1
40123,0
40124,0
40125,0
40126,0
40127,0
40128,1
40129,0
40130,1
40131,1
40132,0
40133,0
40134,0
40135,0
40136,0
40137,0
40138,0
40139,1
40140,0
40141,0
40142,0
40143,0
40144,0
40145,0
40146,0
40147,0
40148,0
40149,0
40150,1
40151,0
40152,0
40153,0
40154,1
40155,1
40156,0
40157,0
40158,0
40159,0
40160,0
40161,0
40162,0
40163,0
40164,0
40165,0
40166,0
40167,0
40168,0
40169,0
40170,0
40171,0
40172,0
40173,0
40174,0
40175,0
40176,1
40177,0
40178,0
40179,0
40180,0
40181,0
40182,0
40183,0
40184,0
40185,1
40186,0
40187,0
40188,0
40189,0
40190,1
40191,0
40192,0
40193,0
40194,1
40195,1
40196,0
40197,0
40198,0
40199,0
40200,0
40201,0
40202,0
40203,0
40204,0
40205,0
40206,0
40207,0
40208,0
40209,0
40210,0
40211,0
40212,0
40213,1
40214,1
40215,0
40216,0
40217,0
40218,0
40219,0
40220,0
40221,0
40222,0
40223,0
40224,1
40225,0
40226,0
40227,0
40228,0
40229,0
40230,0
40231,0
40232,0
40233,0
40234,1
40235,0
40236,0
40237,0
40238,1
40239,0
40240,0
40241,0
40242,0
40243,0
40244,1
40245,0
40246,0
40247,1
40248,0
40249,0
40250,0
40251,0
40252,0
40253,0
40254,0
40255,1
40256,0
40257,1
40258,1
40259,0
40260,0
40261,0
40262,0
40263,1
40264,0
40265,0
40266,0
40267,0
40268,0
40269,0
40270,0
40271,1
40272,1
40273,0
40274,0
40275,1
40276,0
40277,0
40278,0
40279,0
40280,0
40281,0
40282,0
40283,0
40284,1
40285,0
40286,0
40287,0
40288,0
40289,0
40290,0
40291,0
40292,0
40293,0
40294,0
40295,1
40296,0
40297,0
40298,0
40299,0
40300,0
40301,0
40302,0
40303,0
40304,1
40305,0
40306,1
40307,0
40308,0
40309,0
40310,0
40311,0
40312,0
40313,0
40314,1
40315,0
40316,0
40317,1
40318,0
40319,0
40320,0
40321,0
40322,0
40323,1
40324,1
40325,1
40326,0
40327,0
40328,0
40329,0
40330,0
40331,0
40332,0
40333,0
40334,0
40335,0
40336,1
40337,0
40338,0
40339,0
40340,0
40341,0
40342,1
40343,0
40344,0
40345,0
40346,0
40347,0
40348,0
40349,0
40350,0
40351,0
40352,1
40353,0
40354,0
40355,1
40356,0
40357,0
40358,0
40359,1
40360,0
40361,0
40362,0
40363,0
40364,0
40365,0
40366,0
40367,0
40368,0
40369,0
40370,0
40371,0
40372,0
40373,0
40374,0
40375,0
40376,1
40377,0
40378,1
40379,0
40380,0
40381,0
40382,0
40383,0
40384,0
40385,0
40386,0
40387,1
40388,0
40389,0
40390,0
40391,0
40392,0
40393,1
40394,0
40395,0
40396,0
40397,0
40398,1
40399,0
40400,0
40401,0
40402,0
40403,0
40404,0
40405,0
40406,0
40407,0
40408,0
40409,0
40410,0
40411,0
40412,0
40413,0
40414,0
40415,0
40416,0
40417,0
40418,1
40419,1
40420,0
40421,0
40422,0
40423,1
40424,0
40425,1
40426,0
40427,0
40428,0
40429,0
40430,0
40431,0
40432,1
40433,0
40434,0
40435,1
40436,0
40437,0
40438,1
40439,0
40440,0
40441,1
40442,1
40443,1
40444,0
40445,0
40446,1
40447,0
40448,1
40449,0
40450,0
40451,0
40452,0
40453,0
40454,0
40455,0
40456,0
40457,0
40458,0
40459,0
40460,0
40461,0
40462,0
40463,0
40464,0
40465,0
40466,0
40467,0
40468,1
40469,0
40470,0
40471,0
40472,0
40473,1
40474,0
40475,0
40476,0
40477,0
40478,0
40479,0
40480,0
40481,0
40482,0
40483,0
40484,0
40485,0
40486,0
40487,1
40488,0
40489,0
40490,0
40491,0
40492,0
40493,1
40494,0
40495,0
40496,1
40497,0
40498,0
40499,1
40500,0
40501,0
40502,0
40503,0
40504,0
40505,0
40506,0
40507,0
40508,0
40509,0
40510,0
40511,0
40512,1
40513,0
40514,0
40515,0
40516,1
40517,0
40518,0
40519,1
40520,0
40521,0
40522,0
40523,0
40524,0
40525,0
40526,0
40527,1
40528,0
40529,0
40530,0
40531,0
40532,0
40533,0
40534,1
40535,1
40536,0
40537,0
40538,0
40539,0
40540,0
40541,1
40542,1
40543,0
40544,0
40545,0
40546,0
40547,0
40548,0
40549,0
40550,1
40551,0
40552,0
40553,0
40554,1
40555,0
40556,0
40557,0
40558,0
40559,1
40560,0
40561,0
40562,0
40563,0
40564,0
40565,0
40566,0
40567,0
40568,0
40569,0
40570,0
40571,1
40572,1
40573,0
40574,1
40575,0
40576,0
40577,0
40578,0
40579,0
40580,1
40581,0
40582,0
40583,0
40584,0
40585,1
40586,1
40587,0
40588,1
40589,0
40590,0
40591,1
40592,0
40593,0
40594,0
40595,0
40596,1
40597,0
40598,1
40599,0
40600,1
40601,0
40602,0
40603,0
40604,0
40605,0
40606,0
40607,0
40608,0
40609,0
40610,0
40611,0
40612,0
40613,1
40614,0
40615,0
40616,0
40617,0
40618,0
40619,0
40620,0
40621,0
40622,0
40623,0
40624,1
40625,0
40626,1
40627,0
40628,0
40629,1
40630,0
40631,0
40632,0
40633,0
40634,1
40635,0
40636,1
40637,0
40638,0
40639,0
40640,0
40641,0
40642,1
40643,0
40644,0
40645,0
40646,0
40647,0
40648,1
40649,0
40650,0
40651,0
40652,0
40653,0
40654,0
40655,0
40656,0
40657,0
40658,0
40659,1
40660,0
40661,0
40662,0
40663,0
40664,0
40665,0
40666,0
40667,0
40668,1
40669,0
40670,0
40671,0
40672,0
40673,0
40674,0
40675,0
40676,1
40677,0
40678,0
40679,0
40680,0
40681,1
40682,0
40683,0
40684,0
40685,0
40686,0
40687,0
40688,0
40689,0
40690,0
40691,0
40692,1
40693,1
40694,0
40695,0
40696,0
40697,0
40698,0
40699,0
40700,0
40701,1
40702,0
40703,0
40704,1
40705,0
40706,0
40707,0
40708,0
40709,0
40710,1
40711,0
40712,0
40713,1
40714,0
40715,0
40716,0
40717,0
40718,0
40719,0
40720,0
40721,0
40722,1
40723,1
40724,1
40725,1
40726,0
40727,0
40728,0
40729,1
40730,0
40731,1
40732,0
40733,0
40734,0
40735,0
40736,0
40737,0
40738,1
40739,1
40740,0
40741,0
40742,0
40743,0
40744,0
40745,0
40746,0
40747,1
40748,0
40749,0
40750,1
40751,0
40752,0
40753,1
40754,0
40755,0
40756,0
40757,1
40758,0
40759,0
40760,1
40761,0
40762,0
40763,0
40764,0
40765,0
40766,0
40767,0
40768,0
40769,0
40770,0
40771,0
40772,0
40773,0
40774,0
40775,0
40776,0
40777,0
40778,1
40779,0
40780,0
40781,0
40782,0
40783,0
40784,0
40785,0
40786,0
40787,0
40788,0
40789,0
40790,0
40791,1
40792,0
40793,0
40794,0
40795,0
40796,0
40797,0
40798,0
40799,0
40800,1
40801,0
40802,1
40803,0
40804,0
40805,0
40806,0
40807,0
40808,0
40809,0
40810,0
40811,1
40812,0
40813,0
40814,0
40815,0
40816,0
40817,0
40818,0
40819,1
40820,0
40821,0
40822,1
40823,0
40824,0
40825,1
40826,1
40827,0
40828,0
40829,1
40830,0
40831,0
40832,0
40833,0
40834,0
40835,0
40836,0
40837,0
40838,1
40839,0
40840,1
40841,0
40842,0
40843,0
40844,0
40845,0
40846,0
40847,0
40848,1
40849,0
40850,0
40851,0
40852,0
40853,0
40854,0
40855,0
40856,0
40857,0
40858,0
40859,0
40860,0
40861,0
40862,1
40863,0
40864,0
40865,0
40866,0
40867,0
40868,0
40869,0
40870,0
40871,0
40872,0
40873,0
40874,0
40875,0
40876,0
40877,0
40878,0
40879,1
40880,0
40881,0
40882,0
40883,1
40884,0
40885,0
40886,1
40887,0
40888,1
40889,1
40890,0
40891,0
40892,0
40893,0
40894,0
40895,0
40896,0
40897,0
40898,0
40899,1
40900,0
40901,1
40902,0
40903,1
40904,0
40905,0
40906,0
40907,1
40908,0
40909,0
40910,0
40911,0
40912,0
40913,0
40914,0
40915,0
40916,0
40917,0
40918,0
40919,0
40920,0
40921,0
40922,1
