iter	Passed	Remaining
0	11	11172
1	21	10782
2	31	10483
3	40	10169
4	50	10027
5	59	9911
6	68	9784
7	77	9649
8	87	9624
9	97	9614
10	106	9570
11	115	9511
12	124	9449
13	133	9430
14	141	9313
15	150	9272
16	160	9300
17	169	9242
18	178	9222
19	187	9187
20	196	9152
21	206	9179
22	216	9193
23	225	9189
24	235	9184
25	244	9162
26	253	9120
27	262	9114
28	273	9173
29	284	9187
30	293	9176
31	301	9122
32	311	9114
33	321	9120
34	332	9162
35	346	9275
36	360	9386
37	374	9471
38	386	9522
39	396	9527
40	410	9606
41	425	9702
42	437	9732
43	450	9791
44	462	9816
45	478	9921
46	493	9998
47	505	10025
48	520	10107
49	532	10108
50	547	10188
51	569	10379
52	581	10396
53	597	10459
54	611	10513
55	623	10515
56	638	10568
57	649	10556
58	663	10574
59	676	10590
60	689	10612
61	700	10597662	716	10650663	734	10742664	749	10787665	765	10831666	784	10923667	802	10993
68	817	11035
69	830	11037
70	842	11020771	852	10989772	864	10979773	876	10968774	887	10942775	898	10920776	911	10925777	923	10914778	934	10893
79	945	10877880	959	10886
81	970	10868
82	983	10863
83	996	10864
84	1006	10835
85	1018	10824
86	1029	10808
87	1040	10780
88	1051	10766
89	1063	10750
90	1074	10733
91	1086	10723
92	1099	10720
93	1112	10718
94	1123	10704
95	1135	10688
96	1147	10686
97	1159	10670
98	1171	10660
99	1182	10643
100	1192	10615
101	1203	10592
102	1213	10564
103	1223	10540
104	1233	10516
105	1245	10506
106	1254	10473
107	1264	10444
108	1276	10434
109	1287	10413
110	1296	10379
111	1306	10357
112	1320	10364
113	1330	10340
114	1342	10327
115	1354	10322
116	1363	10288
117	1371	10253
118	1381	10230
119	1391	10205
120	1401	10178
121	1410	10151
122	1420	10128
123	1429	10095
124	1438	10069
125	1448	10048
126	1457	10021
127	1467	9994
128	1476	9966
129	1486	9949
130	1496	9925
131	1506	9908
132	1517	9894
133	1527	9872
134	1536	9846
135	1545	9820
136	1557	9810
137	1565	9781
138	1575	9756
139	1584	9732
140	1594	9711
141	1602	9685
142	1611	9659
143	1621	9641
144	1632	9623
145	1640	9594
146	1648	9568
147	1658	9545
148	1668	9530
149	1677	9505
150	1686	9484
151	1696	9465
152	1705	9443
153	1714	9420
154	1723	9397
155	1732	9372
156	1741	9353
157	1751	9332
158	1758	9303
159	1768	9285
160	1778	9270
161	1788	9250
162	1796	9226
163	1807	9215
164	1815	9189
165	1825	9169
166	1835	9154
167	1844	9133
168	1852	9110
169	1860	9084
170	1870	9067
171	1882	9060
172	1895	9062
173	1906	9049
174	1916	9036
175	1927	90176176	1939	9019
177	1953	9023
178	1968	9028
179	1980	9023
180	1992	9017
181	2005	9014
182	2020	9018
183	2028	8997
184	2037	8975
185	2046	8954
186	2054	89187187	2063	89188188	2073	88189189	2083	88190190	2092	88191191	2101	88192192	2110	88193193	2120	88194194	2130	87195195	2139	87196196	2149	87197197	2158	87198198	2168	87199199	2177	87200200	2189	87201201	2199	86202202	2208	86203203	2218	86204204	2229	86205205	2238	86206206	2250	86207207	2259	86208208	2268	85209209	2277	85210210	2285	85211	2300	8550
212212	2304	85213	2321	8525
214	2333	8518
215	2344	8510
216	2355	8498
217	2366	8490
218218	2371	84219219	2383	84220220	2394	84221221	2408	84222222	2420	84223223	2432	84224224	2444	84225225	2458	84226226	2471	84227227	2486	84228228	2499	84229229	2512	84230230	2525	84231231	2538	84232232	2551	83233233	2562	83234234	2573	83235235	2585	83236236	2597	83237237	2609	83238238	2621	83239239	2632	83240240	2642	83241241	2655	83242242	2668	83243243	2682	83244244	2696	83245245	2710	83246246	2724	83247247	2744	83248248	2754	83249249	2766	83250250	2780	82251251	2799	83252252	2811	83253253	2824	82254254	2837	82255255	2848	82256256	2859	82257257	2872	82258258	2886	82259259	2898	82260260	2909	82261261	2922	82262262	2935	82263263	2945	82264264	2958	82265265	2969	81266266	2982	81267267	2995	81268268	3008	81269269	3025	81270270	3038	81271271	3052	81272272	3063	81273273	3075	81274274	3086	81275275	3097	81276276	3110	81277277	3122	81278278	3134	81279279	3147	80280280	3161	80281281	3173	80282282	3187	80283283	3198	80284284	3209	80285285	3221	80286286	3232	80287287	3240	80288288	3250	79289289	3261	79290290	3272	79291291	3283	79292292	3293	79293293	3303	79294294	3312	79295295	3322	79296296	3331	78297297	3341	78298298	3352	78299299	3360	78300300	3371	78301301	3381	78302302	3391	78303303	3399	77304304	3410	77305305	3420	77306306	3430	77307307	3441	77308308	3450	77309309	3460	77310310	3469	76311311	3481	76312312	3491	76313313	3500	76314314	3511	76315315	3520	76316316	3529	76317317	3540	75318318	3550	75319319	3560	75320320	3571	7554
321	3582	7543
322	3591	75323323	3601	7513
324	3609	7497
325	3618	7481
326	3627	74327327	3637	74328328	3646	74329329	3655	74330330	3664	74331331	3673	7392
332	3682	7376
333	3690	73334334	3700	73335335	3709	73336336	3719	73337337	3729	73338338	3738	7289
339	3748	7277
340	3757	7261
341	3765	7245
342	3776	7233
343	3783	72344344	3794	7203
345	3802	71346346	3811	71347347	3819	71348348	3828	71349349	3838	71350350	3847	71351351	3856	7099
352	3865	7084
353	3874	70354354	3882	70355355	3892	70356356	3901	70357357	3910	70358358	3919	69359359	3929	69360360	3938	69361361	3947	6957
362	3956	6943
363	3965	6928
364	3974	6915
365	3984	6901
366	3993	6888
367	4003	6875
368	4012	6861
369	4021	6846
370	4030	6832
371	4038	6818
372	4047	6803
373	4057	6790
374	4065	6775
375	4074	6761
376	4082	6746
377	4090	6731
378	4099	6716
379	4108	6703
380	4117	66381381	4125	66382382	4135	66383383	4145	66384384	4154	6635
385	4162	66386386	4171	66387387	4181	65388388	4190	65389389	4198	65390390	4206	65391391	4215	65392392	4224	65393393	4236	65394394	4245	65395395	4255	64396396	4264	64397397	4274	64398398	4283	64399399	4291	64400400	4303	64401401	4315	64402402	4327	64403403	4338	64404404	4350	63405405	4358	63406406	4369	63407407	4379	63408408	4392	63409409	4405	63410410	4415	63411411	4426	63412412	4439	63413413	4452	6301
414	4462	62415415	4475	62416416	4487	62417417	4501	62418418	4513	62419419	4527	6252
420	4540	62421421	4552	62422422	4562	62423423	4574	62424424	4588	62425425	4600	61426426	4611	61427427	4623	61428428	4637	61429429	4652	61430430	4666	61431431	4678	61432432	4690	61433433	4703	61434434	4719	61435435	4732	61436436	4746	61437437	4758	61438438	4774	61439439	4786	60440440	4799	60441441	4814	60442442	4826	60443443	4838	60444444	4850	60445445	4861	60446446	4874	60447447	4890	60448448	4902	60449449	4912	60450450	4927	59451451	4938	59452452	4953	59453453	4964	59454454	4977	59455455	4990	59456456	5002	59457457	5016	5936
458	5029	5927
459	5044	59460460	5058	59461461	5072	59462462	5086	58463463	5099	58464464	5111	58465465	5121	58466466	5132	5857
467	5142	5846
468	5157	5838
469	5168	5828
470	5178	5815
471	5189	5804
472	5202	5796
473	5220	5793
474	5231	5782
475	5244	5772
476	5255	5762
477	5268	5752
478	5279	5742
479	5288	5729
480	5299	5717
481	5311	5708
482	5320	56483483	5331	5684
484	5342	5673
485	5353	5661
486	5363	5649
487	5374	5639
488	5384	5627
489	5400	5621
490	5419	5617
491	5435	5611
492	5455	5610
493	5468	5600
494	5480	5591
495	5493	5582
496	5510	5577
497	5524	5568
498	5536	5558
499	5551	5551
500	5562	5540
501	5573	5529
502	5586	5520
503	5595	5506
504	5604	5493
505	5613	5480
506	5624	5468
507	5634	5456
508	5647	5447
509	5656	5434
510	5664	5420
511	5674	5408
512	5685	5397
513	5696	5386
514	5708	5375
515	5718	5363
516	5728	5351
517	5739	5340
518	5749	5328
519	5758	5315
520	5770	5304
521	5782	5295
522	5797	5287
523	5810	5278
524	5822	5267
525	5834	5257
526	5859	5258
527	5870	5247
528	5879	5235
529	5891	5224
530	5903	5213
531	5913	5202
532	5922	5189
533	5932	5177
534	5944	5166
535	5954	5154
536	5964	5142
537	5974	5130
538	5983	5117
539	5994	5106
540	6004	5094
541	6015	5082
542	6024	5070
543	6033	5057
544	6042	5044
545	6052	5032
546	6062	5020
547	6072	5008
548	6081	4995
549	6091	4983
550	6101	4972
551	6111	4960
552	6121	4948
553	6131	4935
554	6140	4923
555	6150	4911
556	6159	4899
